Name,Card type,Cost,Upgraded cost,Map,Description,Upgraded description
Punch,Melee,NA,NA,Heroes,Deals 6 damage.,Deals 9 damage.
Cleave,Melee,NA,NA,Heroes,Deals 7 damage.,Deals 10 damage.
Kick,Melee,NA,NA,Heroes,Deals 8 damage and knocks back the target.,Deals 12 damage and knocks back the target.
Misdirect,Melee,NA,NA,Heroes,Deals 5 damage and critical hit to enemy behind target.,Deals 8 damage and critical hit to enemy behind target.
Precision Throw,Melee,NA,NA,Pirates Bay,"Can target any enemy, dealing 5 damage, and applies Blind x1.","Can target any enemy, dealing 5 damage, and applies Blind x2."
Coin Cleave,Melee,NA,NA,Heroes,Deals 6 damage + additional damage based on amount of Coins you have.,Deals 8 damage + additional damage based on amount of Coins you have.
Double Edge,Melee,NA,NA,Pirates Bay,Deals 10 damage. You lose 2 HP.,Deals 14 damage. You lose 2 HP.
Precision Strike,Melee,NA,NA,Pirates Bay,Deals 7 damage. Always hits.,Deals 10 damage. Always hits.
Flurry,Melee,NA,NA,Pirates Bay,Deals 3 damage 3 times.,Deals 4 damage 3 times.
Disarm,Melee,NA,NA,Pirates Bay,Deals 6 damage and applies Weakened x1.,Deals 8 damage and applies Weakened x2.
Knee Spike,Melee,NA,NA,Pirates Bay,Deals 7 damage. Draw a card if your hand is empty.,Deals 10 damage. Draw a card if your hand is empty.
Iron Hook,Melee,NA,NA,Pirates Bay,"Can target any enemy, dealing 5 damage, and grabbing them towards you.","Can target any enemy, dealing 8 damage, and grabbing them towards you."
Heavy Blow,Melee,NA,NA,Pirates Bay,Deals 7 damage and critical hit to enemies with armor.,Deals 10 damage and critical hit to enemies with armor.
Meat Cleaver,Melee,NA,NA,Pirates Bay,Deals 5 damage and applies Injury x2.,Deals 7 damage and applies Injury x3.
Shovel Blow,Melee,NA,NA,Pirates Bay,Deals 10 damage. Adds a Handcuff to your draw pile.,Deals 14 damage. Adds a Handcuff to your draw pile.
Nailed Club,Melee,NA,NA,Pirates Bay,Deals 6 damage + 1 damage per Injured effect on target.,Deals 9 damage + 1 damage per Injured effect on target.
Bottle,Melee,NA,NA,Pirates Bay,Deals 6 damage. Adds 1 Broken Bottle to discard pile. Removed.,Deals 9 damage. Adds 1 upgraded Broken Bottle to discard pile. Removed.
Broken Bottle,Melee,NA,NA,Pirates Bay,Deals 9 damage.,Deals 13 damage.
Whirlwind,Melee,NA,NA,Pirates Bay,Deals 2 damage 4 times.,Deals 3 damage 4 times.
Hilt Blow,Melee,NA,NA,Pirates Bay,Deals 7 damage and gain Dodge x1 if you do not have armor.,Deals 8 damage and gain Dodge x2 if you do not have armor.
Throw Knife,Melee,NA,NA,Pirates Bay,"Can target any enemy, dealing 10 damage. Removed.","Can target any enemy, dealing 14 damage. Removed."
All In,Melee,NA,NA,Pirates Bay,Deals 12 damage. Lose all armor and cannot gain armor this turn.,Deals 16 damage. Lose all armor and cannot gain armor this turn.
Weighty Blow,Melee,NA,NA,Pirates Bay,Deals 3 damage +2 damage per relic.,Deals 3 damage +3 damage per relic.
Pierce,Melee,NA,NA,Pirates Bay,Deals 8 damage. Penetration.,Deals 12 damage. Penetration.
Sweep,Melee,NA,NA,Pirates Bay,Deals 8 damage to all enemies. Removed.,Deals 12 damage to all enemies. Removed.
Backstab,Melee,NA,NA,Pirates Bay,"Deals 6 damage. If an enemy is killed this way, heal 6.","Deals 9 damage. If an enemy is killed this way, heal 9."
Booster Strike,Melee,NA,NA,Pirates Bay,Deals 6 damage and increases damage of all Boosters by 2 this battle.,Deals 8 damage and increases damage of all Boosters by 3 this battle.
One vs Many,Melee,NA,NA,Pirates Bay,Deals 3 damage +3 damage per enemy alive.,Deals 4 damage +4 damage per enemy alive.
Chain Strike,Melee,NA,NA,Pirates Bay,Deals 5 damage to all enemies.,Deals 7 damage to all enemies.
Bayonet Charge,Melee,NA,NA,Pirates Bay,Deals 6 damage. This deals +3 damage this battle.,Deals 8 damage. This deals +4 damage this battle.
Fencer's Rush,Melee,NA,NA,Pirates Bay,Deals 2 damage 2-6 times.,Deals 3 damage 2-6 times.
Flying Kick,Melee,NA,NA,Heroes,"Deals 4-9 damage, fixed when add to hand.","Deals 6-12 damage, fixed when add to hand."
Strength,Melee,NA,NA,Heroes,Deals 1 damage 4 times. Critical hit if The Fool is in your hand.,Deals 1 damage 6 times. Critical hit if The Fool is in your hand.
Tame,Melee,NA,NA,Heroes,Deals 6 damage. Change the action of the bear.,Deals 9 damage. Change the action of the bear.
Bear Paws,Melee,NA,NA,Heroes,Deals 4 damage 2 times.,Deals 6 damage 2 times. 25% Lifesteal.
Specter Cleave,Melee,NA,NA,Heroes,Deals 6 damage. Deals 10 damage when you are Ignited.,Deals 9 damage. Deals 13 damage when you are Ignited.
Shovel Strike,Melee,NA,NA,Heroes,Deals 6 damage. Deals 12 damage instead if you have no armor.,Deals 9 damage. Deals 15 damage instead if you have no armor.
Scratches,Melee,NA,NA,Heroes,Deals 3 damage 2 times.,Deals 5 damage 2 times.
Scissors,Melee,NA,NA,Packages,Deals 5-10 damage.,Deals 7-13 damage.
Paper,Melee,NA,NA,Packages,Deals 7 damage. Critical hit to Weakened enemies.,Deals 10 damage. Critical hit to Weakened enemies.
Demonic Blade,Melee,NA,NA,Packages,Deals 15 damage. Increases this card's damage this journey by 1. Lose 1 max HP.,Deals 20 damage. Increases this card's damage this journey by 1. Lose 1 max HP.
Harpoon,Melee,NA,NA,Packages,Deals 8 damage. 50% Lifesteal if you are Drunk.,Deals 12 damage. 50% Lifesteal if you are Drunk.
Double Kick,Melee,NA,NA,Packages,Deals 4 damage 2 times and knocks back the enemy for each hit.,Deals 6 damage 2 times and knocks back the enemy for each hit.
Shoot,Ranged,1 ammo,1 ammo,Heroes,Deals 6 damage.,Deals 9 damage.
Double Shot,Ranged,2 ammo,2 ammo,Heroes,Deals 6 damage 2 times.,Deals 9 damage 2 times.
Barrage,Ranged,3 ammo,3 ammo,Pirates Bay,Deals 5 damage to a random enemy 6 times.,Deals 6 damage to a random enemy 6 times.
